,SampleID,Env
27,SRR1687069,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
28,SRR1687094,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
29,SRR1687095,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
30,SRR1687096,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
31,SRR1687097,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
32,SRR1687098,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
33,SRR1687100,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
34,SRR1687171,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
35,SRR1687172,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
36,SRR1687173,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
37,SRR1687174,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
38,SRR1687425,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
39,SRR1687427,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
40,SRR1687430,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
41,SRR1687439,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
42,SRR1687442,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
43,SRR1687444,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
44,SRR1687446,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
45,SRR1687452,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
46,SRR1687456,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
47,SRR1687458,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
48,SRR1687460,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
49,SRR1687461,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
50,SRR1689253,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
51,SRR1689254,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
52,SRR1689291,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
53,SRR1689362,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
54,SRR1689401,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
55,SRR1689515,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
56,SRR1689535,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
57,SRR1689572,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
58,SRR1689635,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
59,SRR1689692,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
60,SRR1689821,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
61,SRR1689859,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
62,SRR1689935,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
63,SRR1690046,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
64,SRR1690153,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
65,SRR1690276,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
66,SRR1690354,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
67,SRR1690429,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
68,SRR1690468,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
69,SRR1690581,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
70,SRR1690640,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
71,SRR1690743,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
72,SRR1690840,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
73,SRR1690896,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
74,SRR1690963,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
75,SRR1693198,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
76,SRR1693199,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
77,SRR1693200,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
78,SRR1693202,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
79,SRR1693203,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
80,SRR1693204,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
81,SRR1693205,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
82,SRR1693206,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
83,SRR1693207,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
84,SRR1693208,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
85,SRR1693209,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
86,SRR1693210,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
87,SRR1693211,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
88,SRR1693212,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
89,SRR1693214,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
90,SRR1693215,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
91,SRR1693216,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
92,SRR1693217,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
93,SRR1693218,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
94,SRR1693219,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
95,SRR1693220,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
96,SRR1693221,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
97,SRR1693222,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
98,SRR1693224,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
99,SRR1693225,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
100,SRR1693226,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
101,SRR1693228,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
102,SRR1693229,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
103,SRR1693231,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
104,SRR1693254,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
105,SRR1693255,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
106,SRR1693256,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
107,SRR1693257,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
108,SRR1693258,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
109,SRR1693259,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
110,SRR1693267,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
111,SRR1693268,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
112,SRR1693269,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
113,SRR1693270,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
114,SRR1693276,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
115,SRR1693281,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
116,SRR1693285,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
117,SRR1693293,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
118,SRR1693294,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
119,SRR1693300,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
120,SRR1693305,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
121,SRR1693306,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
122,SRR1693307,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
123,SRR1693308,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
124,SRR1693347,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
125,SRR1693348,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
126,SRR1693349,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
127,SRR1693350,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
128,SRR1693351,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
129,SRR1693352,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
130,SRR1693353,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
131,SRR1693354,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
132,SRR1693355,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
133,SRR1693356,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
134,SRR1693357,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
135,SRR1693358,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
136,SRR1693359,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
137,SRR1693360,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
138,SRR1693361,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
139,SRR1693362,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
140,SRR1763540,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
141,SRR1763554,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
142,SRR1763557,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
143,SRR1763560,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
144,SRR1763564,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
145,SRR1763566,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
146,SRR1763569,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
147,SRR1763571,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
148,SRR1763572,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
149,SRR1763573,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
150,SRR1763574,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
151,SRR1763575,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
152,SRR1763576,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
153,SRR1763577,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
154,SRR1763578,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
155,SRR1763580,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
156,SRR1763582,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
157,SRR1763584,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
158,SRR1763587,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
159,SRR1763589,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
160,SRR1763591,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
161,SRR1763593,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
162,SRR1763594,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
163,SRR1763596,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
164,SRR1763599,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
165,SRR1763600,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
166,SRR1763601,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
167,SRR1763604,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
168,SRR1763606,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
169,SRR1763608,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
170,SRR1763610,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
171,SRR1763615,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
172,SRR1763619,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
173,SRR1763620,"Digestive System Diseases:Gastrointestinal Diseases:Intestinal Diseases:Colonic Diseases:Colonic Diseases, Functional:Irritable Bowel Syndrome"
